vowel	time_index	v_time	time_abs	F1	F2	F3
ue	1	0	0.049	240	2080	2615
ue	2	0.021	0.071	274	2018	2444
ue	3	0.043	0.092	279	2003	2407
ue	4	0.064	0.114	296	1961	2368
ue	5	0.086	0.135	335	1797	2371
ue	6	0.107	0.156	374	1671	2407
ue	7	0.128	0.178	448	1543	2448
ue	8	0.15	0.199	497	1471	2564
ue	9	0.171	0.221	553	1412	2666
ue	10	0.193	0.242	551	1392	2806
ue	1	0	0.394	295	1852	2760
ue	2	0.017	0.411	337	1769	2461
ue	3	0.034	0.428	343	1750	2442
ue	4	0.05	0.444	346	1728	2431
ue	5	0.067	0.461	352	1717	2425
ue	6	0.084	0.478	368	1638	2427
ue	7	0.101	0.495	409	1555	2428
ue	8	0.118	0.511	478	1472	2436
ue	9	0.134	0.528	501	1396	2525
ue	10	0.151	0.545	544	1332	2583
ueh	1	0	0.706	397	1756	2777
ueh	2	0.018	0.724	412	1740	2656
ueh	3	0.036	0.742	438	1729	2621
ueh	4	0.055	0.76	453	1650	2610
ueh	5	0.073	0.779	469	1606	2623
ueh	6	0.091	0.797	499	1583	2641
ueh	7	0.109	0.815	529	1543	2564
ueh	8	0.127	0.833	542	1439	2607
ueh	9	0.145	0.851	583	1354	2658
ueh	10	0.164	0.87	633	1317	2721
